68134	00	bfsa@bfsa.bg	070012299	02/9159820	02/9159883	ОДБХ ЦУ	гр. София, бул. „Пенчо Славейков“ 15А	Приемно време на изпълнителния директор - четвъртък от 15 до 16 часа, с предварително записан час по телефона.	true	RDFS HQ	Sofia, Pencho Slaveikov Blvd. 15A	Office hours for the executive director - Thursday from 3 to 4 p.m., by appointment by phone.	176040023
04279	01	rvs_01@bfsa.bg	073/882073	073/828833		ОДБХ Благоевград	гр. Благоевград ул. „Славянска“ № 92, ПК 2700	Няма линии на градския транспорт. На територията на ОДБХ – Благоевград има възможност да се паркира с личен автомобил. Директор: д-р Михаил Бащавелов	true	RDFS Blagoevgrad	"Blagoevgrad, ""Slavyanska"" St. No. 92, PO Box 2700"	There are no public transport lines. On the territory of RDFS - Blagoevgrad it is possible to park a private car. Director: Dr. Mikhail Bashtavelov	176986803
07079	02	rvs_02@bfsa.bg	0886404873	0884001123	056/813280	ОДБХ Бургас	гр. Бургас, ул. Хан „Аспарух“ № 36, ПК 8000	Линии на градския транспорт Б1, Б2, Б11, Б12, Т2, 3, 6, 7, 15 Пред административната сграда на ОДБХ – Бургас има възможност за паркиране с личен автомобил с въведен режим за платено паркиране „Синя зона“ и едно платено паркомясто за граждани и клиенти. Директор: д-р Георги Митев	true	RDFS Burgas	"Burgas, Han ""Asparuh"" St. No. 36, PO Box 8000"	"Public transport lines B1, B2, B11, B12, T2, 3, 6, 7, 15 In front of the administrative building of the RDFS - Burgas there is a possibility to park a private car with the ""Blue Zone"" paid parking regime and one paid parking space for citizens and customers. Director: Dr. Georgi Mitev"	176986600
10135	03	rvs_03@bfsa.bg	052/655801	052/655801	052/605219	ОДБХ Варна	гр. Варна, ул. ,,Софроний Врачански“ № 19, ПК 9000	автобуси 1, 7, 9, 10, 13, 17, 17А, 18, 18А, 20, 22, 23, 29, 31, 31А, 36, 37, 39, 40, 41, 46, 55, 60, 109 тролейбуси 82 и 83; Разстоянието от автобусните спирки до дирекцията е около 500 метра. Административните сгради на ОДБХ – Варна се намират в територията на Синя зона за паркиране. Директор: д-р Костадинка Маринова	true	RDFS Varna	Varna, 19 Sofroniy Vrachanski str., PO Box 9000	Buses 1, 7, 9, 10, 13, 17, 17A, 18, 18A, 20, 22, 23, 29, 31, 31A, 36, 37, 39, 40, 41, 46, 55, 60, 109 trolleybuses 82 and 83; The distance from the bus stops to the directorate is about 500 meters. The administrative buildings of RDFS - Varna are located in the territory of the Blue parking zone. Director: Dr. Kostadinka Marinova	176986109
10447	04	rvs_04@bfsa.bg	062/603157	062/603156	062/603156	ОДБХ Велико Търново	гр. Велико Търново, ул. „Славянска“ № 5, ПК 5000	Линии на градския транспорт: Автобусни линии 13, 20, 30, 50 и 70 до спирка „Пожарна“ и спирка „Габровски“. Разстояние до дирекцията – 300 м. Има възможност за паркиране на лични автомобили в двора на административната сграда. Директор: д-р Станимир Спасов	true	RDFS Veliko Tarnovo	Veliko Tarnovo, Slavyanska St. No. 5, PO Box 5000	"Public transport lines: Bus lines 13, 20, 30, 50 and 70 to the ""Požarna"" stop and the ""Gabrovski"" stop. Distance to the directorate - 300 m. It is possible to park private cars in the courtyard of the administrative building. Director: Dr. Stanimir Spasov"	176987022
10971	05	rvs_05@bfsa.bg	094/601588	094/601580	094/601591	ОДБХ Видин	гр. Видин, ул. „Цар Симеон Велики“ № 66,  ПК 3700	До административната сграда на ОДБХ – Видин няма градски транспорт. Дирекцията разполага с паркинг с възможност за паркиране на лични автомобили. Директор: д-р Адриян Данков	true	RDFS Vidin	"Vidin, ""Tsar Simeon the Great"" St. No. 66, PO Box 3700"	There is no public transport to the administrative building of RDFS - Vidin. Building has a parking lot with the possibility of parking private cars. Director: Dr. Adrian Dankov	176987034
12259	06	rvs_06@bfsa.bg	092/665078	092/665711	092/660685	ОДБХ Враца	гр. Враца, ул. „Илинден“ № 1, ПК 3000	Линии на градския транспорт: 3 – спирка – „кв. 72“ и спирка „Аванти“, 5 – спирка „Аванти“, 5А – спирка „Аванти“, 7 – спирка „кв. 72“ и спирка „Аванти“, 23 – спирка „кв. 72“ и спирка „Аванти“. На разположение за паркиране на лични автомобили има обществен неплатен паркинг, който обслужва и жилищния блок в съседство на дирекцията.	true	RDFS Vratsa	Vratsa, Ilinden St. No. 1, PO Box 3000	"City transport lines: 3 - stop - ""kv. 72"" and stop ""Avanti"", 5 - stop ""Avanti"", 5A - stop ""Avanti"", 7 - stop ""kv. 72"" and stop ""Avanti"", 23 - stop ""kv. 72"" and the Avanti stop. There is a free public car park available for private cars, which also serves the apartment block next to the directorate."	176987264
14218	07	rvs_07@bfsa.bg	066/801779	066/806537	066/801781	ОДБХ Габрово	гр. Габрово, ул. „Д-р Заменхоф“ № 6, ПК 5300	Автобуси № 7 и № 14 на спирка „Механотехникум“ и спирка на Шести пощенски клон. Разстояние от спирките до административната сграда – 500 метра. Дирекцията не разполага с осигурени паркоместа, но в района има налично свободно пространство за паркиране. Директор: д-р Светослав Спасов	true	RDFS Gabrovo	Gabrovo, Dr. Zamenhof St. No. 6, PO Box 5300	Buses No. 7 and No. 14 at the Mechanotekhnikum stop and the Sixth Post Office stop. Distance from the stops to the administrative building - 500 meters. The Building does not have secured parking spaces, but there is free parking space available in the area. Director: Dr. Svetoslav Spasov	176986874
72624	08	rvs_08@bfsa.bg	058/604577	0879/229792	058/602053	ОДБХ Добрич	гр. Добрич, ул. „Генерал Киселов“ № 2 , ПК 9300	Автобуси № 11, № 124, № 131, № 176, № 203, № 208, № 213, № 215, № 221, № 233, № 238, № 248, № 306 и на спирка „Тракийски“. Разстояние от спирката до административната сграда – 150 метра. Възможност за паркиране с личен автомобил – дирекцията не разполага с осигурени паркоместа, но в района има налично свободно пространство за паркиране. Директор: д-р Стелияна Генчева	true	RDFS Dobrich	"Dobrich, ""General Kiselov"" St. No. 2, PO Box 9300"	Buses No. 11, No. 124, No. 131, No. 176, No. 203, No. 208, No. 213, No. 215, No. 221, No. 233, No. 238, No. 248, No. 306 and at the Trakiyski stop. Distance from the stop to the administrative building - 150 meters. Possibility of parking with a private car - The Building does not have secured parking spaces, but there is a free parking space available in the area. Director: Dr. Steliyana Gencheva	176986529
40909	09	rvs_09@bfsa.bg	0361/62529			ОДБХ Кърджали	гр. Кърджали, ул. „Дарец“ № 6, ПК 6600	До административната сграда на ОДБХ – Кърджали няма градски транспорт. Пред сградата на дирекцията има възможност за паркиране на лични автомобили. Директор: д-р Али Дурмушали	true	RDFS Kardzhali	Kardzhali, Darets St. No. 6, PO Box 6600	There is no public transport to the administrative building of RDFS - Kardzhali. Parking for private cars is available in front of the directorate building. Director: Dr. Ali Durmushali	176986956
