0001000	true	Тип храна	Тип храна	Тип храна	Тип храна
0001001	true	1. Група А - "мляко и млечни продукти"	1. Група А - "мляко и млечни продукти"	1. Група А - "мляко и млечни продукти"	1. Група А - "мляко и млечни продукти"	0001000
0001002	true	сирене	сирене	сирене	сирене	0001001
0001003	true	масло	масло	масло	масло	0001001
0001004	true	сухо мляко и/или сухи млечни продукти	сухо мляко и/или сухи млечни продукти	сухо мляко и/или сухи млечни продукти	сухо мляко и/или сухи млечни продукти	0001001
0001005	true	млечни напитки	млечни напитки	млечни напитки	млечни напитки	0001001
0001006	true	млечно-кисели напитки	млечно-кисели напитки	млечно-кисели напитки	млечно-кисели напитки	0001001
0001007	true	прясно мляко	прясно мляко	прясно мляко	прясно мляко	0001001
0001008	true	кисело мляко	кисело мляко	кисело мляко	кисело мляко	0001001
0001009	true	сметана	сметана	сметана	сметана	0001001
0001010	true	течно масло	течно масло	течно масло	течно масло	0001001
0001011	true	дехидратирани млечни мазнини	дехидратирани млечни мазнини	дехидратирани млечни мазнини	дехидратирани млечни мазнини	0001001
0001012	true	десерти на млечна/млечно-плодова/млечно-зърнена основа	десерти на млечна/млечно-плодова/млечно-зърнена основа	десерти на млечна/млечно-плодова/млечно-зърнена основа	десерти на млечна/млечно-плодова/млечно-зърнена основа	0001001
0001013	true	кашкавал	кашкавал	кашкавал	кашкавал	0001001
0001014	true	топено сирене	топено сирене	топено сирене	топено сирене	0001001
0001015	true	сурово мляко	сурово мляко	сурово мляко	сурово мляко	0001001
0001016	true	извара	извара	извара	извара	0001001
0001017	true	крема сирене	крема сирене	крема сирене	крема сирене	0001001
0001018	true	млечни продукти, различни от изброените	млечни продукти, различни от изброените	млечни продукти, различни от изброените	млечни продукти, различни от изброените	0001001
0001019	true	2. Група Б – "млечни аналози – имитиращи продукти, съдържащи в състава си мляко"	2. Група Б – "млечни аналози – имитиращи продукти, съдържащи в състава си мляко"	2. Група Б – "млечни аналози – имитиращи продукти, съдържащи в състава си мляко"	2. Група Б – "млечни аналози – имитиращи продукти, съдържащи в състава си мляко"	0001000
0001020	true	3. Група В - "месо и месни продукти"	3. Група В - "месо и месни продукти"	3. Група В - "месо и месни продукти"	3. Група В - "месо и месни продукти"	0001000
0001021	true	Птиче месо	Птиче месо	Птиче месо	Птиче месо	0001020
0001022	true	птиче месо - охладено	птиче месо - охладено	птиче месо - охладено	птиче месо - охладено	0001021
0001023	true	разфасовки от птиче месо - охладени	разфасовки от птиче месо - охладени	разфасовки от птиче месо - охладени	разфасовки от птиче месо - охладени	0001021
0001024	true	заготовки от нераздробено птиче месо - охладени	заготовки от нераздробено птиче месо - охладени	заготовки от нераздробено птиче месо - охладени	заготовки от нераздробено птиче месо - охладени	0001021
0001025	true	заготовки от раздробено птиче месо – охладени	заготовки от раздробено птиче месо – охладени	заготовки от раздробено птиче месо – охладени	заготовки от раздробено птиче месо – охладени	0001021
0001026	true	продукт от птиче месо – замразен	продукт от птиче месо – замразен	продукт от птиче месо – замразен	продукт от птиче месо – замразен	0001021
0001027	true	варени и/или варено-пушени малотрайни колбаси от птиче месо	варени и/или варено-пушени малотрайни колбаси от птиче месо	варени и/или варено-пушени малотрайни колбаси от птиче месо	варени и/или варено-пушени малотрайни колбаси от птиче месо	0001021
0001028	true	пастети	пастети	пастети	пастети	0001021
0001029	true	птиче месо - замразено	птиче месо - замразено	птиче месо - замразено	птиче месо - замразено	0001021
0001030	true	разфасовки от птиче месо - замразени	разфасовки от птиче месо - замразени	разфасовки от птиче месо - замразени	разфасовки от птиче месо - замразени	0001021
0001031	true	заготовки от нераздробено птиче месо – замразени	заготовки от нераздробено птиче месо – замразени	заготовки от нераздробено птиче месо – замразени	заготовки от нераздробено птиче месо – замразени	0001021
0001032	true	заготовки от раздробено птиче месо – замразени	заготовки от раздробено птиче месо – замразени	заготовки от раздробено птиче месо – замразени	заготовки от раздробено птиче месо – замразени	0001021
0001033	true	продукт от птиче месо - охладен	продукт от птиче месо - охладен	продукт от птиче месо - охладен	продукт от птиче месо - охладен	0001021
0001034	true	МОМ	МОМ	МОМ	МОМ	0001021
0001035	true	варени и/или варено-пушени продукти от нераздробено птиче месо	варени и/или варено-пушени продукти от нераздробено птиче месо	варени и/или варено-пушени продукти от нераздробено птиче месо	варени и/или варено-пушени продукти от нераздробено птиче месо	0001021
0001036	true	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	0001021
0001037	true	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	0001021
0001038	true	месни продукти, различни от изброените	месни продукти, различни от изброените	месни продукти, различни от изброените	месни продукти, различни от изброените	0001021
0001039	true	Месо от лагоморфни	Месо от лагоморфни	Месо от лагоморфни	Месо от лагоморфни	0001020
0001040	true	месо от лагоморфни - охладено	месо от лагоморфни - охладено	Месо от лагоморфни - охладено	месо от лагоморфни - охладено	0001039
0001041	true	разфасовки – охладени	разфасовки – охладени	разфасовки – охладени	разфасовки – охладени	0001039
0001042	true	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	0001039
0001043	true	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	0001039
0001044	true	месо от лагоморфни - замразено 	месо от лагоморфни - замразено	месо от лагоморфни - замразено	месо от лагоморфни - замразено	0001039
0001045	true	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	0001039
0001046	true	продукти от лагоморфни, различни от изброените	продукти от лагоморфни, различни от изброените	продукти от лагоморфни, различни от изброените	продукти от лагоморфни, различни от изброените	0001039
0001048	true	Месо от домашни копитни животни - свинско месо	Месо от домашни копитни животни - свинско месо	Месо от домашни копитни животни - свинско месо	Месо от домашни копитни животни - свинско месо	0001020
0001049	true	трупно месо – охладено	трупно месо – охладено	трупно месо – охладено	трупно месо – охладено	0001048
0001050	true	трупно месо - замразено	трупно месо - замразено	трупно месо - замразено	трупно месо - замразено	0001048
0001051	true	разфасовки - охладени	разфасовки - охладени	разфасовки - охладени	разфасовки - охладени	0001048
0001052	true	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	разфасовки - замразени	0001048
0001053	true	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	субпродукти – охладени	0001048
0001054	true	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	субпродукти – замразени	0001048
0001055	true	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	заготовки от нераздробено месо – охладени	0001048
0001056	true	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	заготовки от нераздробено месо - замразени	0001048
0001057	true	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	заготовки от раздробено месо – охладено	0001048
0001058	true	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	заготовки от раздробено месо – замразени	0001048
0001059	true	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	варени и/ или варено-пушени малотрайни колбаси	0001048
